name;school;kindergarten;post;library;culture;atm;health;port;airport;shop;pristan;pvz;gas;mfc
Каменка;1;1;1;1;1;0;3;1;1;14;1;0;1;1
Кимжа;0;0;0;0;1;0;1;0;0;1;0;0;0;0
Долгощелье;1;1;1;1;1;0;1;0;1;5;0;0;0;0
Затон;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Дорогорское;1;1;1;1;1;0;1;0;0;1;0;1;0;0
Бычье;1;1;1;1;2;0;1;0;0;3;0;0;0;0
Тимощелье;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Лобан;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Печище;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Козьмогородское;1;0;1;1;0;0;1;0;0;0;0;0;0;0
Петрова;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Жердь;0;0;1;1;1;0;2;0;0;0;0;0;0;0
Кильца;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Жукова;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Баковская;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Майда;0;0;0;1;0;0;1;1;1;0;1;0;0;0
Койда;1;1;1;1;2;0;1;1;1;3;1;0;0;0
Езевец;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Мосеево;0;0;1;1;0;0;1;1;1;1;1;0;0;0
Калино;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ручьи;1;1;1;1;1;0;1;1;1;3;0;0;0;0
Сафоново;0;0;1;1;1;0;0;1;1;0;0;0;0;0
Мегра;0;0;0;1;0;0;1;1;1;0;0;0;0;0
Елкино;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Целегора;0;0;1;1;0;0;1;1;0;0;0;0;0;0
Мелогора;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Черсова;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Березник;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Погорелец;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чижгора;1;1;1;1;1;0;0;0;0;1;0;0;0;0
Сояна;1;1;1;1;1;1;1;1;1;1;0;0;0;0
Совполье;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Соколово;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Заакакурье;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Заозерье;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Лампожня;0;0;1;1;1;0;1;0;0;0;0;0;0;0
Азаполье;0;0;1;1;1;0;1;1;0;1;1;0;0;0
Морозилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Нижа;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Окуловский;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Чеца;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Карьеполье;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Усть-Няфта;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Коршаково;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Петровка;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Усть-Пеза;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Бор;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кепино;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Моржовец;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Сёмжа;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Мезень;1;1;1;1;1;1;3;1;1;15;1;1;1;1
